Decorated function name;Undecorated function name;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
_vfprintf_l;_vfprintf_l;44944900;44944900;44944900;0;1
__local_stdio_printf_options;__local_stdio_printf_options;44789500;44789500;44789500;0;1
??$_Getvals@_W@?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z;void __cdecl std::time_get<char,class std::istreambuf_iterator<char,struct std::char_traits<char> > >::_Getvals<wchar_t>(wchar_t,class std::_Locinfo const & __ptr64) __ptr64;44414300;1326100;87502500;43088200;2
main;main;43282100;43282100;43282100;0;1
??A?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QEAAAEAD_K@Z;char & __ptr64 __cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::operator[](unsigned __int64) __ptr64;37939100;564800;75313400;37374300;2
?UndecorateFunction@CppBuildInsightsDataConversion@Utilities@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBV34@@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl Utilities::CppBuildInsightsDataConversion::UndecorateFunction(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64);33001000;33001000;33001000;0;1
?WideStringToString@CppBuildInsightsDataConversion@Utilities@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEB_W@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl Utilities::CppBuildInsightsDataConversion::WideStringToString(wchar_t const * __ptr64);32387400;32387400;32387400;0;1
??$move@AEAV?$MatchEventFixedHandler@U?$MatchEventAndContinue@VFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@V12345@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@V12345@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAV?$MatchEventFixedHandler@U?$MatchEventAndContinue@VFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@V12345@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@V12345@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@AEAV12345@@Z;??$move@AEAV?$MatchEventFixedHandler@U?$MatchEventAndContinue@VFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@V12345@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@V12345@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildI;29574000;29574000;29574000;0;1
??$get@$0A@$$QEAPEBD@std@@YA$$QEAPEBD$$QEAV?$tuple@$$QEAPEBD@0@@Z;??$get@$0A@$$QEAPEBD@std@@YA$$QEAPEBD$$QEAV?$tuple@$$QEAPEBD@0@@Z;25983650;249700;51717600;25733950;2
?parse@ParseResult@cxxopts@@AEAAXAEAHAEAPEAPEAD@Z;void __cdecl cxxopts::ParseResult::parse(int & __ptr64,char * __ptr64 * __ptr64 & __ptr64) __ptr64;25014700;25014700;25014700;0;1
??DDiyFp@internal@rapidjson@@QEBA?AU012@AEBU012@@Z;struct rapidjson::internal::DiyFp __cdecl rapidjson::internal::DiyFp::operator*(struct rapidjson::internal::DiyFp const & __ptr64)const __ptr64;20617200;20617200;20617200;0;1
?_Forced_rehash@?$_Hash@V?$_Umap_traits@_KV?$vector@_KV?$allocator@_K@std@@@std@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@$0A@@std@@@std@@IEAAX_K@Z;void __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > >,0> >::_Forced_rehash(unsigned __int64) __ptr64;20033200;20033200;20033200;0;1
??$forward@AEAPEAU?$_List_node@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAX@std@@@std@@YAAEAPEAU?$_List_node@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAX@0@AEAPEAU10@@Z;struct std::_List_node<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,void * __ptr64> * __ptr64 & __ptr64 __cdecl std::forward<struct std::_List_node<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,void * __ptr64> * __ptr64 & __ptr64>(struct std::_List_node<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,void * __ptr64> * __ptr64 & __ptr64);19483150;231600;38734700;19251550;2
??$?0AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@$0A@@?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z;__cdecl std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64>::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64><class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64,0>(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64) __ptr64;17963225;327600;70784900;30496613;4
??0?$codecvt_utf8@_W$0BAPPPP@$0A@@std@@QEAA@_K@Z;__cdecl std::codecvt_utf8<wchar_t,1114111,0>::codecvt_utf8<wchar_t,1114111,0>(unsigned __int64) __ptr64;17378000;17378000;17378000;0;1
?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QEAAAEAV12@QEBD_K@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > & __ptr64 __cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::assign(char const * __ptr64 const,unsigned __int64) __ptr64;13717185;554800;92559700;32187332;7
?AddChild@TimelineEntry@@QEAAXPEAV1@@Z;void __cdecl TimelineEntry::AddChild(class TimelineEntry * __ptr64) __ptr64;13660800;13660800;13660800;0;1
?AddEntry@?A0x9a8b7bf0@@YAXPEBVTimelineEntry@@AEAV?$GenericValue@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@@rapidjson@@AEAV?$GenericDocument@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@VCrtAllocator@2@@4@AEBV?$unordered_map@_KUProcessThreadRemap@@U?$hash@_K@std@@U?$equal_to@_K@3@V?$allocator@U?$pair@$$CB_KUProcessThreadRemap@@@std@@@3@@std@@AEBV?$unordered_set@_KU?$hash@_K@std@@U?$equal_to@_K@2@V?$allocator@_K@2@@7@@Z;void __cdecl `anonymous namespace'::AddEntry(class TimelineEntry const * __ptr64,class rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> > & __ptr64,class rapidjson::GenericDocument<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator>,class rapidjson::CrtAllocator> & __ptr64,class std::unordered_map<unsigned __int64,struct ProcessThreadRemap,struct std::hash<unsigned __int64>,struct std::equa;13116300;13116300;13116300;0;1
?_Myptr@?$_String_val@U?$_Simple_types@D@std@@@std@@QEBAPEBDXZ;char const * __ptr64 __cdecl std::_String_val<struct std::_Simple_types<char> >::_Myptr(void)const __ptr64;13085700;302700;92202400;31150836;14
?allocate@?$allocator@_K@std@@QEAAPEA_K_K@Z;unsigned __int64 * __ptr64 __cdecl std::allocator<unsigned __int64>::allocate(unsigned __int64) __ptr64;11918700;11918700;11918700;0;1
?_Get_first@?$_Compressed_pair@V?$allocator@U?$_List_node@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@PEAX@std@@@std@@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@2@$00@std@@QEAAAEAV?$allocator@U?$_List_node@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@PEAX@std@@@2@XZ;class std::allocator<struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,void * __ptr64> > & __ptr64 __cdecl std::_Compressed_pair<class std::allocator<struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,void * __ptr64> >,class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vect;11561700;11561700;11561700;0;1
?_Construct_lv_contents@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEAAXAEBV12@@Z;void __cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Construct_lv_contents(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64) __ptr64;11280562;734800;84533500;27687054;8
??0?$_Alloc_construct_ptr@V?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@PEAX@std@@@std@@@std@@QEAA@AEAV?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@PEAX@std@@@1@@Z;__cdecl std::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > >,void * __ptr64> > >::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,str;10921100;412000;21430200;10509100;2
?select_on_container_copy_construction@?$_Default_allocator_traits@V?$allocator@D@std@@@std@@SA?AV?$allocator@D@2@AEBV32@@Z;static class std::allocator<char> __cdecl std::_Default_allocator_traits<class std::allocator<char> >::select_on_container_copy_construction(class std::allocator<char> const & __ptr64);10739962;174500;84478000;27870362;8
??$_Maklocstr@_W@std@@YAPEA_WPEBDPEA_WAEBU_Cvtvec@@@Z;wchar_t * __ptr64 __cdecl std::_Maklocstr<wchar_t>(char const * __ptr64,wchar_t * __ptr64,struct _Cvtvec const & __ptr64);10595500;1243100;19947900;9352400;2
?_Forced_rehash@?$_Hash@V?$_Umap_traits@_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@2@V?$allocator@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@2@$0A@@std@@@std@@IEAAX_K@Z;void __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,0> >::_Forced_rehash(unsigned __int64) __ptr64;10571450;2443500;18699400;8127950;2
?_Do_rep0@?$_Matcher@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@DV?$regex_traits@D@2@V12@@std@@AEAA_NPEAV_Node_rep@2@_N@Z;bool __cdecl std::_Matcher<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char,class std::regex_traits<char>,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Do_rep0(class std::_Node_rep * __ptr64,bool) __ptr64;10360600;10360600;10360600;0;1
?_Match_pat@?$_Matcher@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@DV?$regex_traits@D@2@V12@@std@@AEAA_NPEAV_Node_base@2@@Z;bool __cdecl std::_Matcher<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char,class std::regex_traits<char>,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Match_pat(class std::_Node_base * __ptr64) __ptr64;10103100;10103100;10103100;0;1
?format_description@?A0xe8409837@cxxopts@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBUHelpOptionDetails@2@_K1@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl cxxopts::`anonymous namespace'::format_description(struct cxxopts::HelpOptionDetails const & __ptr64,unsigned __int64,unsigned __int64);9898500;9898500;9898500;0;1
??2@YAPEAX_KPEAX@Z;void * __ptr64 __cdecl operator new(unsigned __int64,void * __ptr64);9886794;207600;89488000;27283727;18
??1_Bxty@?$_String_val@U?$_Simple_types@_W@std@@@std@@QEAA@XZ;__cdecl std::_String_val<struct std::_Simple_types<wchar_t> >::_Bxty::~_Bxty(void) __ptr64;9489200;9489200;9489200;0;1
??0?$wstring_convert@V?$codecvt_utf8@_W$0BAPPPP@$0A@@std@@_WV?$allocator@_W@2@V?$allocator@D@2@@std@@QEAA@XZ;__cdecl std::wstring_convert<class std::codecvt_utf8<wchar_t,1114111,0>,wchar_t,class std::allocator<wchar_t>,class std::allocator<char> >::wstring_convert<class std::codecvt_utf8<wchar_t,1114111,0>,wchar_t,class std::allocator<wchar_t>,class std::allocator<char> >(void) __ptr64;9415900;9415900;9415900;0;1
??$_Getvals@_W@?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z;void __cdecl std::time_get<wchar_t,class std::istreambuf_iterator<wchar_t,struct std::char_traits<wchar_t> > >::_Getvals<wchar_t>(wchar_t,class std::_Locinfo const & __ptr64) __ptr64;9384000;810300;17957700;8573700;2
??$?0V?$allocator@PEAVTimelineEntry@@@std@@$$V@?$_Compressed_pair@V?$allocator@PEAVTimelineEntry@@@std@@V?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@2@$00@std@@QEAA@U_One_then_variadic_args_t@1@$$QEAV?$allocator@PEAVTimelineEntry@@@1@@Z;??$?0V?$allocator@PEAVTimelineEntry@@@std@@$$V@?$_Compressed_pair@V?$allocator@PEAVTimelineEntry@@@std@@V?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@2@$00@std@@QEAA@U_One_then_variadic_args_t@1@$$QEAV?$allocator@PEAVTimelineEntry@@@1@@Z;9283100;9283100;9283100;0;1
??$construct@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEBU12@@?$_Default_allocator_traits@V?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@std@@@std@@SAXAEAV?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@1@QEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@1@$$QEAPEBU31@@Z;??$construct@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEBU12@@?$_Default_allocator_traits@V?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@std@@@std@@SAXAEAV?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@1@QEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationDat;9226200;9226200;9226200;0;1
??$forward@V?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@std@@@std@@YA$$QEAV?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@0@AEAV10@@Z;??$forward@V?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@std@@@std@@YA$$QEAV?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@0@AEAV10@@Z;9158200;237300;18079100;8920900;2
??0locale@std@@QEAA@XZ;__cdecl std::locale::locale(void) __ptr64;9150100;277600;18022600;8872500;2
?format_option@?A0xe8409837@cxxopts@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBUHelpOptionDetails@2@@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl cxxopts::`anonymous namespace'::format_option(struct cxxopts::HelpOptionDetails const & __ptr64);9058000;9058000;9058000;0;1
??$_Partition_by_median_guess_unchecked@PEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@V<lambda_9480883bff83c29d8fc89bed48609766>@@@std@@YA?AU?$pair@PEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEAPEBU12@@0@PEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@0@0V<lambda_9480883bff83c29d8fc89bed48609766>@@@Z;struct std::pair<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const * __ptr64 * __ptr64,struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const * __ptr64 * __ptr64> __cdecl std::_Partition_by_median_guess_unchecked<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > cons;8877100;8877100;8877100;0;1
?ExportTo@FileCompilationsExporter@@QEBA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z;bool __cdecl FileCompilationsExporter::ExportTo(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64)const __ptr64;8737400;8737400;8737400;0;1
??0?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QEAA@XZ;__cdecl std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> >::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> >(void) __ptr64;8434900;8434900;8434900;0;1
