Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
class std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct `anonymous namespace'::DataPerTemplate,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> >,0> > ;class std::_Hash ;27303100;27303100;27303100;0;1
class std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > >,0> > ;class std::_Hash ;26770650;11848500;40121400;10392010;4
class std::_Hash<class std::_Umap_traits<unsigned __int64,struct ProcessThreadRemap,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> >,0> > ;class std::_Hash ;26480816;14768600;45432600;10182867;6
class std::unordered_map<unsigned __int64,class TimelineEntry,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > ;class std::unordered_map ;26475383;13647300;37220400;8399822;6
class std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct FileCompilationData,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> >,0> > ;class std::_Hash ;25805725;11772000;38527200;10208084;4
class std::_Hash<class std::_Umap_traits<unsigned __int64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,0> > ;class std::_Hash ;24643160;11385400;44027400;12124851;5
class std::unordered_set<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<unsigned __int64> > ;class std::unordered_set ;24353425;13366100;47019900;13270122;4
class std::unordered_map<unsigned __int64,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> >,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > ;class std::unordered_map ;23838166;15976600;38760600;10556815;3
class std::unordered_map<unsigned __int64,struct TemplateInstantiationData,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > ;class std::unordered_map ;23268000;13325600;32869500;9557956;4
class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > ;class std::unordered_set ;22745866;12668600;27923600;7126608;3
class std::_Hash<class std::_Umap_traits<unsigned __int64,class TimelineEntry,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class TimelineEntry> >,0> > ;class std::_Hash ;22415516;11529200;32511600;7221007;6
class std::_Hash<class std::_Uset_traits<unsigned __int64,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<unsigned __int64>,0> > ;class std::_Hash ;21917950;11904100;43327200;12486200;4
class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &> ;class std::tuple ;20646075;7360700;50132000;17261519;4
class rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> > ;class rapidjson::GenericValue ;20165500;20165500;20165500;0;1
class std::_Hash<class std::_Uset_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,0> > ;class std::_Hash ;19880700;11160900;24659400;6175304;3
class std::_Hash<class std::_Umap_traits<unsigned __int64,struct TemplateInstantiationData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> >,0> > ;class std::_Hash ;19759775;11218300;27982100;8190264;4
class std::_Hash<class std::_Umap_traits<unsigned __int64,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > >,0> > ;class std::_Hash ;19679333;13656900;30871700;7921847;3
class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > ;class std::tuple ;19089400;19089400;19089400;0;1
class std::tuple<unsigned __int64 const &> ;class std::tuple ;18601650;11534200;25020200;5936495;4
struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;struct std::pair ;18293850;4659400;31928300;13634450;2
class std::tuple<class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > &&> ;class std::tuple ;18234450;9566500;26902400;8667950;2
class std::list<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData>,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > > ;class std::list ;18156950;5447700;29189900;9348620;6
struct std::_Uninitialized_backout<class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base0> *> ;struct std::_Uninitialized_backout ;17404600;232100;34577100;17172500;2
class std::vector<struct `anonymous namespace'::DataPerFunction,class std::allocator<struct `anonymous namespace'::DataPerFunction> > ;class std::vector ;15612000;15612000;15612000;0;1
class std::list<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > > > ;class std::list ;15225200;5856400;20297900;5075831;6
class std::list<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> > > ;class std::list ;14974500;14974500;14974500;0;1
class std::unordered_map<class std::shared_ptr<class cxxopts::OptionDetails>,class cxxopts::OptionValue,struct std::hash<class std::shared_ptr<class cxxopts::OptionDetails> >,struct std::equal_to<class std::shared_ptr<class cxxopts::OptionDetails> >,class std::allocator<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > > ;class std::unordered_map ;14547800;14547800;14547800;0;1
class std::tuple<class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > &&> ;class std::tuple ;13373000;13373000;13373000;0;1
class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > ;class std::vector ;13356740;7374200;20266100;4818116;5
class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::shared_ptr<class cxxopts::OptionDetails>,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > > > ;class std::unordered_map ;13341200;13341200;13341200;0;1
class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &&> ;class std::tuple ;13185200;10827500;14800300;1704772;3
class std::list<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > ;class std::list ;13118325;6003700;17782200;4525678;4
class std::list<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;class std::list ;12834542;5790500;22492700;5322592;7
class std::tuple<struct FileCompilationData &&> ;class std::tuple ;12446000;12446000;12446000;0;1
class std::_Hash<class std::_Umap_traits<class std::shared_ptr<class cxxopts::OptionDetails>,class cxxopts::OptionValue,class std::_Uhash_compare<class std::shared_ptr<class cxxopts::OptionDetails>,struct std::hash<class std::shared_ptr<class cxxopts::OptionDetails> >,struct std::equal_to<class std::shared_ptr<class cxxopts::OptionDetails> > >,class std::allocator<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> >,0> > ;class std::_Hash ;12305000;12305000;12305000;0;1
class std::tuple<class TimelineEntry &> ;class std::tuple ;12244300;12244300;12244300;0;1
class std::list<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap>,class std::allocator<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > > ;class std::list ;12239900;7382500;15926100;3207039;6
class std::vector<class TimelineEntry *,class std::allocator<class TimelineEntry *> > ;class std::vector ;12218300;4774600;27889500;7101344;7
class std::list<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;class std::list ;12155780;5770200;19808200;5553319;5
class std::tuple<char const * &&> ;class std::tuple ;12056850;11727500;12386200;329350;2
class std::list<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > ;class std::list ;11867700;6325800;18074900;4264848;4
class Microsoft::Cpp::BuildInsights::StaticAnalyzerGroup<class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> > ;class Microsoft::Cpp::BuildInsights::StaticAnalyzerGroup ;11534600;11534600;11534600;0;1
class std::tuple<struct TemplateInstantiationData &> ;class std::tuple ;11522600;11522600;11522600;0;1
class std::vector<unsigned long,class std::allocator<unsigned long> > ;class std::vector ;11425300;11425300;11425300;0;1
class std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const *,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const *> > ;class std::vector ;11421300;11421300;11421300;0;1
class std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::shared_ptr<class cxxopts::OptionDetails>,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > >,0> > ;class std::_Hash ;10878600;10878600;10878600;0;1
class std::tuple<class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > &&> ;class std::tuple ;10831500;10831500;10831500;0;1
class std::match_results<char const *,class std::allocator<class std::sub_match<char const *> > > ;class std::match_results ;10822200;10822200;10822200;0;1
class std::list<unsigned __int64,class std::allocator<unsigned __int64> > ;class std::list ;10611200;6089100;18986400;4999087;4
class std::tuple<class std::shared_ptr<class cxxopts::OptionDetails> const &> ;class std::tuple ;10561500;10561500;10561500;0;1
class std::wstring_convert<class std::codecvt_utf8<wchar_t,1114111,0>,wchar_t,class std::allocator<wchar_t>,class std::allocator<char> > ;class std::wstring_convert ;10206200;10206200;10206200;0;1
class std::list<struct std::pair<unsigned __int64 const ,class TimelineEntry>,class std::allocator<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > ;class std::list ;10143516;5626500;13458200;3174789;6
class std::list<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > ;class std::list ;9763966;5828600;16556600;4823240;3
