Decorated function name;Undecorated function name;Total elapsed time (nanoseconds);Average elapsed time (nanoseconds);Occurrences
??$_Resize@U_Value_init_tag@std@@@?$vector@U_Loop_vals_t@std@@V?$allocator@U_Loop_vals_t@std@@@2@@std@@AEAAX_KAEBU_Value_init_tag@1@@Z;void __cdecl std::vector<struct std::_Loop_vals_t,class std::allocator<struct std::_Loop_vals_t> >::_Resize<struct std::_Value_init_tag>(unsigned __int64,struct std::_Value_init_tag const & __ptr64) __ptr64;15848520;15848520;1
??0?$_Vector_val@U?$_Simple_types@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@@std@@@std@@QEAA@XZ;__cdecl std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_s;15006523;15006523;1
?_Match_pat@?$_Matcher@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@DV?$regex_traits@D@2@V12@@std@@AEAA_NPEAV_Node_base@2@@Z;bool __cdecl std::_Matcher<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char,class std::regex_traits<char>,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Match_pat(class std::_Node_base * __ptr64) __ptr64;14144820;14144820;1
??A?$vector@U_Loop_vals_t@std@@V?$allocator@U_Loop_vals_t@std@@@2@@std@@QEAAAEAU_Loop_vals_t@1@_K@Z;struct std::_Loop_vals_t & __ptr64 __cdecl std::vector<struct std::_Loop_vals_t,class std::allocator<struct std::_Loop_vals_t> >::operator[](unsigned __int64) __ptr64;13561456;13561456;1
??0?$_Matcher@PEBDDV?$regex_traits@D@std@@PEBD@std@@QEAA@PEBD0AEBV?$regex_traits@D@1@PEAV_Root_node@1@IW4syntax_option_type@regex_constants@1@W4match_flag_type@51@@Z;__cdecl std::_Matcher<char const * __ptr64,char,class std::regex_traits<char>,char const * __ptr64>::_Matcher<char const * __ptr64,char,class std::regex_traits<char>,char const * __ptr64>(char const * __ptr64,char const * __ptr64,class std::regex_traits<char> const & __ptr64,class std::_Root_node * __ptr64,unsigned int,enum std::regex_constants::syntax_option_type,enum std::regex_constants::match_flag_type) __ptr64;13549961;13549961;1
??$_Cmp_chrange@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@PEBDU?$_Cmp_collate@V?$regex_traits@D@std@@@2@@std@@YA?AV?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@0@V10@0PEBD1U?$_Cmp_collate@V?$regex_traits@D@std@@@0@@Z;class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > __cdecl std::_Cmp_chrange<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char const * __ptr64,struct std::_Cmp_collate<class std::regex_traits<char> > >(class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char const * __ptr64,char const;13041314;13041314;1
??0?$unordered_map@_KV?$vector@_KV?$allocator@_K@std@@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@@std@@QEAA@$$QEAV01@@Z;??0?$unordered_map@_KV?$vector@_KV?$allocator@_K@std@@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@@std@@QEAA@$$QEAV01@@Z;13013398;13013398;1
??0?$shared_ptr@_N@std@@QEAA@XZ;__cdecl std::shared_ptr<bool>::shared_ptr<bool>(void) __ptr64;12649669;12649669;1
??0?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@std@@QEAA@XZ;__cdecl std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> >::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> >(void) __ptr64;24697911;12348955;2
?format_description@?A0xe8409837@cxxopts@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBUHelpOptionDetails@2@_K1@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl cxxopts::`anonymous namespace'::format_description(struct cxxopts::HelpOptionDetails const & __ptr64,unsigned __int64,unsigned __int64);12002262;12002262;1
??8?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$shared_ptr@VOptionDetails@cxxopts@@@2@@std@@@std@@@std@@U_Iterator_base0@2@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > > >,struct std::_Iterator_base0>::operator==(class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >;11293277;11293277;1
?_Alloc_sentinel_and_proxy@?$list@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@2@@std@@AEAAXXZ;void __cdecl std::list<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string;10845388;10845388;1
??$forward@AEBV?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@YAAEBV?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@0@AEBV10@@Z;class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<c;10374099;10374099;1
??0?$_Matcher@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@DV?$regex_traits@D@2@V12@@std@@QEAA@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@1@0AEBV?$regex_traits@D@1@PEAV_Root_node@1@IW4syntax_option_type@regex_constants@1@W4match_flag_type@61@@Z;__cdecl std::_Matcher<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char,class std::regex_traits<char>,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Matcher<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char,class std::regex_traits<char>,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >(class std::_String_const_iterato;10362604;10362604;1
??$_Emplace_back_with_unused_capacity@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@AEAA@$$QEAV?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@1@@Z;??$_Emplace_back_with_unused_capacity@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@AEAA@$$QEAV?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@1@@Z;20522817;10261408;2
??1?$vector@UDataPerFunction@FunctionCompilationsExporter@@V?$allocator@UDataPerFunction@FunctionCompilationsExporter@@@std@@@std@@QEAA@XZ;__cdecl std::vector<struct FunctionCompilationsExporter::DataPerFunction,class std::allocator<struct FunctionCompilationsExporter::DataPerFunction> >::~vector<struct FunctionCompilationsExporter::DataPerFunction,class std::allocator<struct FunctionCompilationsExporter::DataPerFunction> >(void) __ptr64;9620366;9620366;1
?parse_value@values@cxxopts@@YAXAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEA_N@Z;void __cdecl cxxopts::values::parse_value(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64,bool & __ptr64);9572334;9572334;1
??$destroy@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@?$_Default_allocator_traits@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@SAXAEAV?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@1@QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z;static void __cdecl std::_Default_allocator_traits<class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >::destroy<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >(class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > & __ptr64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > * __ptr64 const);9113771;9113771;1
?deallocate@?$allocator@U_Loop_vals_t@std@@@std@@QEAAXQEAU_Loop_vals_t@2@_K@Z;void __cdecl std::allocator<struct std::_Loop_vals_t>::deallocate(struct std::_Loop_vals_t * __ptr64 const,unsigned __int64) __ptr64;9079697;9079697;1
??0?$_Vb_val@V?$allocator@_N@std@@@std@@QEAA@AEBV01@@Z;__cdecl std::_Vb_val<class std::allocator<bool> >::_Vb_val<class std::allocator<bool> >(class std::_Vb_val<class std::allocator<bool> > const & __ptr64) __ptr64;9019349;9019349;1
?format_option@?A0xe8409837@cxxopts@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBUHelpOptionDetails@2@@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl cxxopts::`anonymous namespace'::format_option(struct cxxopts::HelpOptionDetails const & __ptr64);8835021;8835021;1
??$?4V?$standard_value@_N@values@cxxopts@@@?$weak_ptr@VValue@cxxopts@@@std@@QEAAAEAV01@AEBV?$shared_ptr@V?$standard_value@_N@values@cxxopts@@@1@@Z;class std::weak_ptr<class cxxopts::Value> & __ptr64 __cdecl std::weak_ptr<class cxxopts::Value>::operator=<class cxxopts::values::standard_value<bool> >(class std::shared_ptr<class cxxopts::values::standard_value<bool> > const & __ptr64) __ptr64;8598556;8598556;1
?IsInt64@?$GenericValue@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@@rapidjson@@QEBA_NXZ;bool __cdecl rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> >::IsInt64(void)const __ptr64;8550524;8550524;1
??R<lambda_4bb6aed2334c12b27f73b7e46d64fdf0>@@QEBA?AV?$tuple@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@AEBV?$sub_match@PEBD@2@0@Z;class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > __cdecl <lambda_4bb6aed2334c12b27f73b7e46d64fdf0>::operator()(class std::sub_match<char const * __ptr64> const & __ptr64,class std::sub_match<char const * __ptr64> const & __ptr64)const __ptr64;8344438;8344438;1
??$?0V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@?$_Tuple_val@$$QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@QEAA@$$QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z;??$?0V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@?$_Tuple_val@$$QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@QEAA@$$QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@@Z;24110852;8036950;3
??0?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@U_Iterator_base12@2@@std@@QEAA@PEAU?$_List_node@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAX@1@PEBV?$_List_val@U?$_List_simple_types@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@1@@Z;__cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base12>::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base12>(struct std::_List_node<class std::basic_string<char,struct std::char_traits<char>,clas;15905994;7952997;2
?WriteString@?$Writer@V?$BasicOStreamWrapper@V?$basic_ostream@DU?$char_traits@D@std@@@std@@@rapidjson@@U?$UTF8@D@2@U32@VCrtAllocator@2@$0A@@rapidjson@@IEAA_NPEBDI@Z;bool __cdecl rapidjson::Writer<class rapidjson::BasicOStreamWrapper<class std::basic_ostream<char,struct std::char_traits<char> > >,struct rapidjson::UTF8<char>,struct rapidjson::UTF8<char>,class rapidjson::CrtAllocator,0>::WriteString(char const * __ptr64,unsigned int) __ptr64;7844001;7844001;1
?ExportTo@FileCompilationsExporter@@QEBA_NAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z;bool __cdecl FileCompilationsExporter::ExportTo(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64)const __ptr64;7798432;7798432;1
??$sort@V?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@UDataPerFunction@FunctionCompilationsExporter@@@std@@@std@@@std@@V<lambda_a2eef00bb02357da46910e5eb8f40a83>@@@std@@YAXV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@UDataPerFunction@FunctionCompilationsExporter@@@std@@@std@@@0@0V<lambda_a2eef00bb02357da46910e5eb8f40a83>@@@Z;void __cdecl std::sort<class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<struct FunctionCompilationsExporter::DataPerFunction> > >,class <lambda_a2eef00bb02357da46910e5eb8f40a83> >(class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<struct FunctionCompilationsExporter::DataPerFunction> > >,class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<struct FunctionCompilationsExporter::DataPerFunction> > >,class <lambda_a2eef00bb02357da46;7681021;7681021;1
??$_Getvals@_W@?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z;void __cdecl std::time_get<char,class std::istreambuf_iterator<char,struct std::char_traits<char> > >::_Getvals<wchar_t>(wchar_t,class std::_Locinfo const & __ptr64) __ptr64;15295536;7647768;2
?parse@ParseResult@cxxopts@@AEAAXAEAHAEAPEAPEAD@Z;void __cdecl cxxopts::ParseResult::parse(int & __ptr64,char * __ptr64 * __ptr64 & __ptr64) __ptr64;7353418;7353418;1
?_Match_pat@?$_Matcher@PEBDDV?$regex_traits@D@std@@PEBD@std@@AEAA_NPEAV_Node_base@2@@Z;bool __cdecl std::_Matcher<char const * __ptr64,char,class std::regex_traits<char>,char const * __ptr64>::_Match_pat(class std::_Node_base * __ptr64) __ptr64;7042236;7042236;1
??$_Getvals@_W@?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@IEAAX_WAEBV_Locinfo@1@@Z;void __cdecl std::time_get<wchar_t,class std::istreambuf_iterator<wchar_t,struct std::char_traits<wchar_t> > >::_Getvals<wchar_t>(wchar_t,class std::_Locinfo const & __ptr64) __ptr64;13974038;6987019;2
?help_one_group@Options@cxxopts@@AEBA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AEBV34@@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > __cdecl cxxopts::Options::help_one_group(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64)const __ptr64;6906761;6906761;1
??0ParseResult@cxxopts@@QEAA@V?$shared_ptr@V?$unordered_map@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$shared_ptr@VOptionDetails@cxxopts@@@2@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$shared_ptr@VOptionDetails@cxxopts@@@2@@std@@@2@@std@@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@3@_NAEAHAEAPEAPEAD@Z;__cdecl cxxopts::ParseResult::ParseResult(class std::shared_ptr<class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::shared_ptr<class cxxopts::OptionDetails>,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<c;6849286;6849286;1
?capacity@?$vector@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@V?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@2@@std@@QEBA_KXZ;unsigned __int64 __cdecl std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const * __ptr64,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const * __ptr64> >::capacity(void)const __ptr64;6828760;6828760;1
